"CellLine"	"Histology"	"ER"	"HER2"	"genefu.robust"	"ssBC"	"ssBC.v2"	"cIHC"	"cIHC.itr"	"PCAPAM50"	"AIMS"	"sspbc"	"entropy"	"TopCall"	"nVotes"	"Tie"	"mRNA Subtypes"	"RPPA Subtypes"	"DNAm Subtypes"
"BCK4-I"	"ILC"	"ER+"	"HER2-"	"LumA"	"LumA"	"LumA"	"LumA"	"LumA"	"LumA"	"LumB"	"LumB"	0.811278124459133	"LumA"	"6"	"FALSE"	"Lum/HER2"	"Lum"	"Lum/HER2"
"CAMA1-I"	"ILC-like"	"ER-"	"HER2-"	"LumB"	"LumB"	"LumB"	"LumB"	"LumB"	"LumB"	"Her2"	"Her2"	0.811278124459133	"LumB"	"6"	"FALSE"	"Lum"	"Lum"	"Lum/HER2"
"HCC1187-I"	"ILC-like"	"ER-"	"HER2-"	"Basal"	"Basal"	"Basal"	"Basal"	"Basal"	"Basal"	"Basal"	"Basal"	0	"Basal"	"8"	"FALSE"	"Basal"	"Basal"	"Basal"
"HCC2218-I"	"ILC-like"	"ER-"	"HER2+"	"LumA"	"LumA"	"LumA"	"LumA"	"LumA"	"LumA"	"Her2"	"Her2"	0.811278124459133	"LumA"	"6"	"FALSE"	"Lum/HER2"	"Lum/HER2"	"Lum/HER2"
"MDAMB134VI-I"	"ILC"	"ER+"	"HER2-"	"LumB"	"LumB"	"LumB"	"LumB"	"LumB"	"LumB"	"LumB"	"LumB"	0	"LumB"	"8"	"FALSE"	"Lum"	"Lum"	"Lum/HER2"
"MDAMB453-I"	"ILC-like"	"ER-"	"HER2-"	"LumA"	"LumA"	"LumA"	"LumA"	"LumA"	"LumA"	"Her2"	"Her2"	0.811278124459133	"LumA"	"6"	"FALSE"	"Lum/HER2"	"Lum/HER2"	"Lum/HER2"
"600MPE-I"	"ILC-like"	"ER-"	"HER2-"	"LumA"	"Basal"	"Basal"	"Basal"	"Basal"	"LumA"	"Her2"	"Her2"	1.5	"Basal"	"4"	"FALSE"	"Lum/HER2"	"Basal"	"Lum/HER2"
"SKBR3-I"	"ILC-like"	"ER-"	"HER2+"	"LumA"	"Normal"	"Normal"	"LumA"	"Normal"	"LumA"	"Her2"	"Her2"	1.56127812445913	"LumA;Normal"	"3"	"TRUE"	"HER2"	"HER2"	NA
"UACC3133-I"	"ILC"	"ER+"	"HER2-"	"LumA"	"LumA"	"LumA"	"LumA"	"LumA"	"LumA"	"Her2"	"Her2"	0.811278124459133	"LumA"	"6"	"FALSE"	"Lum/HER2"	"Lum"	"Lum/HER2"
"ZR7530-I"	"ILC-like"	"ER+"	"HER2+"	"LumB"	"LumB"	NA	"LumA"	"LumA"	"LumA"	"Her2"	"Her2"	1.55665670746282	"LumA"	"3"	"FALSE"	"Lum/HER2"	NA	"Lum/HER2"
"HCC2185-I"	"ILC"	"ER-"	"HER2-"	"LumB"	"Her2"	"Her2"	"LumA"	"LumA"	"LumA"	"Her2"	"Her2"	1.40563906222957	"Her2"	"4"	"FALSE"	"Lum/HER2"	"Basal"	"Lum/HER2"
"IPH926-I"	"ILC"	"ER-"	"HER2-"	"LumB"	"Basal"	"Her2"	"LumA"	"LumA"	"LumA"	"Her2"	"Her2"	1.81127812445913	"LumA;Her2"	"3"	"TRUE"	"Lum/HER2"	"HER2"	"Lum/HER2"
"MDAMB330-I"	"ILC"	"ER+"	"HER2+"	"LumB"	"LumB"	NA	"LumA"	"LumA"	"LumA"	"Her2"	"LumB"	1.44881563572518	"LumA;LumB"	"3"	"TRUE"	"Lum"	"Lum/HER2"	"Lum/HER2"
"MDAMB468-I"	"ILC-like"	"ER-"	"HER2-"	"Basal"	"Basal"	"Basal"	"Basal"	"Basal"	"Basal"	"Basal"	"Her2"	0.543564443199596	"Basal"	"7"	"FALSE"	"Basal"	"Basal"	"Basal"
"OCUBM-I"	"ILC-like"	"ER-"	"HER2+"	"Her2"	"Basal"	"Basal"	"Her2"	"Her2"	"Her2"	"Her2"	"Her2"	0.811278124459133	"Her2"	"6"	"FALSE"	"Lum/HER2"	"Basal"	"Lum/HER2"
"SUM44PE-I"	"ILC"	"ER+"	"HER2-"	"LumB"	"LumB"	"LumB"	"LumB"	"LumB"	"LumB"	"LumB"	"LumB"	0	"LumB"	"8"	"FALSE"	"Lum"	"Lum"	"Lum/HER2"
"WCRC25-I"	"ILC"	"ER-"	"HER2-"	"Her2"	"Her2"	"Her2"	"Her2"	"Her2"	"Her2"	"Her2"	"Her2"	0	"Her2"	"8"	"FALSE"	"Lum/HER2"	NA	"Lum/HER2"
