""	"ERpos"	"ERpos_z"	"ERneg"	"ERneg_z"	"SET"
"HCC2218-I"	240.402192670099	1.42183363711672	76.7156862396769	-0.750444071220441	1.20898300732795
"MDAMB134VI-I"	216.941738611205	1.11068482495934	56.3495108794531	-1.09305767859015	1.18434156228745
"MDAMB453-I"	218.902325397061	1.13668748663073	64.6430161022963	-0.953538711877952	1.13390904576007
"600MPE-I"	124.327270881996	-0.117632476580974	123.683977558895	0.0396883633797765	-0.0894198730388492
"SKBR3-I"	141.114731258384	0.105014465466254	122.511129125682	0.0199579120066731	0.0536079552664815
"UACC3133-I"	254.941965042852	1.61467018203029	120.240099637244	-0.018246885492819	0.978162351406231
"ZR7530-I"	272.324754071379	1.84521278553792	83.9349678608082	-0.628996422111794	1.40570882626737
"HCC2185-I"	118.468602743884	-0.195334196565659	126.524562574033	0.0874746100295838	-0.158696815856365
"IPH926-I"	117.592704206272	-0.206950970429633	66.9365980440182	-0.914954521721853	0.308859693512982
"MDAMB330-I"	258.289235153314	1.65906399965315	49.3620436979224	-1.21060558805759	1.56925949247991
"MDAMB468-I"	78.8160753910602	-0.721233514366444	168.927997369217	0.800813933838911	-0.81215362386292
"OCUBM-I"	97.5384124388405	-0.472924896016475	89.9874586428028	-0.527177319422486	-0.034410369216368
"SUM44PE-I"	235.141591083761	1.35206389051619	80.0390036497101	-0.694536972997679	1.14062453390663
